Order ID,Date,Day,Season,Customer Name,City,Region,State,Category,Sub Category,Sales,Discount,Profit,Average Temp,Holiday
OD1,08-Nov-17,Wednesday,Post-Monsoon,Harish,Vellore,North,Tamil Nadu,Oil & Masala,Masalas,1254 ,0.10 ,401 ,29.4,No
OD2,08-Nov-17,Wednesday,Post-Monsoon,Sudha,Krishnagiri,South,Tamil Nadu,Beverages,Health Drinks,749 ,0.20 ,150 ,29.4,No
OD3,12-Jun-17,Monday,Summer,Hussain,Perambalur,West,Tamil Nadu,Food Grains,Atta & Flour,2360 ,0.20 ,165 ,28.3,No
OD4,11-Oct-16,Tuesday,Post-Monsoon,Jackson,Dharmapuri,South,Tamil Nadu,Fruits & Veggies,Fresh Vegetables,896 ,0.30 ,90 ,28.3,Yes
OD5,11-Oct-16,Tuesday,Post-Monsoon,Ridhesh,Ooty,South,Tamil Nadu,Food Grains,Organic Staples,2355 ,0.30 ,919 ,28.3,Yes
OD6,09-Jun-15,Tuesday,Summer,Adavan,Dharmapuri,West,Tamil Nadu,Food Grains,Organic Staples,2305 ,0.30 ,323 ,28.3,No
OD7,09-Jun-15,Tuesday,Summer,Jonas,Trichy,West,Tamil Nadu,Fruits & Veggies,Fresh Vegetables,826 ,0.30 ,347 ,28.3,No
OD8,09-Jun-15,Tuesday,Summer,Hafiz,Ramanadhapuram,West,Tamil Nadu,Fruits & Veggies,Fresh Fruits,1847 ,0.30 ,148 ,28.3,No
OD9,09-Jun-15,Tuesday,Summer,Hafiz,Tirunelveli,West,Tamil Nadu,Bakery,Biscuits,791 ,0.20 ,182 ,28.3,No
OD10,09-Jun-15,Tuesday,Summer,Krithika,Chennai,West,Tamil Nadu,Bakery,Cakes,1795 ,0.30 ,485 ,28.3,No
OD11,09-Jun-15,Tuesday,Summer,Ganesh,Karur,West,Tamil Nadu,Snacks,Chocolates,1903 ,0.10 ,438 ,28.3,No
OD12,09-Jun-15,Tuesday,Summer,Yadav,Namakkal,West,Tamil Nadu,"Eggs, Meat & Fish",Eggs,701 ,0.10 ,308 ,28.3,No
OD13,15-Apr-18,Sunday,Winter,Sharon,Dindigul,South,Tamil Nadu,Snacks,Cookies,1659 ,0.20 ,315 ,28.3,Yes
OD14,05-Dec-17,Tuesday,Winter,Peer,Kanyakumari,West,Tamil Nadu,Fruits & Veggies,Fresh Vegetables,1277 ,0.30 ,64 ,28.3,No
OD15,22-Nov-16,Tuesday,Post-Monsoon,Sundar,Kanyakumari,Central,Tamil Nadu,"Eggs, Meat & Fish",Chicken,831 ,0.20 ,208 ,28.3,No
OD16,22-Nov-16,Tuesday,Post-Monsoon,Ramesh,Krishnagiri,Central,Tamil Nadu,Oil & Masala,Edible Oil & Ghee,1440 ,0.10 ,101 ,28.3,No
OD17,11-Nov-15,Wednesday,Post-Monsoon,Alan,Dharmapuri,Central,Tamil Nadu,Bakery,Cakes,1678 ,0.30 ,319 ,26.3,No
OD18,13-May-15,Wednesday,Summer,Arutra,Bodi,West,Tamil Nadu,Beverages,Health Drinks,1617 ,0.20 ,113 ,28.4,No
OD19,27-Aug-15,Thursday,Monsoon,Haseena,Tenkasi,West,Tamil Nadu,"Eggs, Meat & Fish",Mutton,1757 ,0.40 ,387 ,29,No
OD20,27-Aug-15,Thursday,Monsoon,Verma,Kanyakumari,West,Tamil Nadu,Beverages,Soft Drinks,692 ,0.30 ,159 ,29,No
OD21,27-Aug-15,Thursday,Monsoon,Hafiz,Vellore,West,Tamil Nadu,Beverages,Health Drinks,522 ,0.20 ,209 ,29,No
OD22,09-Dec-17,Saturday,Winter,Alan,Karur,Central,Tamil Nadu,Food Grains,Dals & Pulses,948 ,0.10 ,47 ,28.3,No
OD23,09-Dec-17,Saturday,Winter,Haseena,Krishnagiri,Central,Tamil Nadu,Beverages,Soft Drinks,707 ,0.30 ,149 ,28.3,No
