Order ID,Date,Day,Season,Customer Name,City,Region,State,Category,Sub Category,Sales,Discount,Profit,Average Temp,Holiday,Year,Month,Profit Margin
OD1,2017-11-08,8,Post-Monsoon,Harish,21,2,0,5,14,1254,0.1,401,29.4,No,2017,11,0.3197767145135566
OD2,2017-11-08,8,Post-Monsoon,Sudha,8,3,0,1,13,749,0.2,150,29.4,No,2017,11,0.20026702269692923
OD3,2017-06-12,12,Summer,Hussain,13,4,0,3,0,2360,0.2,165,28.3,No,2017,6,0.06991525423728813
OD4,2016-10-11,11,Post-Monsoon,Jackson,4,3,0,4,12,896,0.3,90,28.3,Yes,2016,10,0.10044642857142858
OD5,2016-10-11,11,Post-Monsoon,Ridhesh,12,3,0,3,18,2355,0.3,919,28.3,Yes,2016,10,0.3902335456475584
OD6,2015-06-09,9,Summer,Adavan,4,4,0,3,18,2305,0.3,323,28.3,No,2015,6,0.14013015184381777
OD7,2015-06-09,9,Summer,Jonas,20,4,0,4,12,826,0.3,347,28.3,No,2015,6,0.42009685230024213
OD8,2015-06-09,9,Summer,Hafiz,15,4,0,4,11,1847,0.3,148,28.3,No,2015,6,0.08012994044396318
OD9,2015-06-09,9,Summer,Hafiz,19,4,0,0,1,791,0.2,182,28.3,No,2015,6,0.23008849557522124
OD10,2015-06-09,9,Summer,Krithika,1,4,0,0,3,1795,0.3,485,28.3,No,2015,6,0.27019498607242337
OD11,2015-06-09,9,Summer,Ganesh,7,4,0,6,5,1903,0.1,438,28.3,No,2015,6,0.2301629006831319
OD12,2015-06-09,9,Summer,Yadav,11,4,0,2,9,701,0.1,308,28.3,No,2015,6,0.43937232524964337
OD13,2018-04-15,15,Winter,Sharon,5,3,0,6,6,1659,0.2,315,28.3,Yes,2018,4,0.189873417721519
OD14,2017-12-05,5,Winter,Peer,6,4,0,4,12,1277,0.3,64,28.3,No,2017,12,0.050117462803445575
OD15,2016-11-22,22,Post-Monsoon,Sundar,6,0,0,2,4,831,0.2,208,28.3,No,2016,11,0.2503008423586041
OD16,2016-11-22,22,Post-Monsoon,Ramesh,8,0,0,5,8,1440,0.1,101,28.3,No,2016,11,0.07013888888888889
OD17,2015-11-11,11,Post-Monsoon,Alan,4,0,0,0,3,1678,0.3,319,26.3,No,2015,11,0.1901072705601907
OD18,2015-05-13,13,Summer,Arutra,0,4,0,1,13,1617,0.2,113,28.4,No,2015,5,0.06988249845392702
OD19,2015-08-27,27,Monsoon,Haseena,17,4,0,2,15,1757,0.4,387,29.0,No,2015,8,0.22026180990324418
OD20,2015-08-27,27,Monsoon,Verma,6,4,0,1,21,692,0.3,159,29.0,No,2015,8,0.22976878612716764
OD21,2015-08-27,27,Monsoon,Hafiz,21,4,0,1,13,522,0.2,209,29.0,No,2015,8,0.4003831417624521
OD22,2017-12-09,9,Winter,Alan,7,0,0,3,7,948,0.1,47,28.3,No,2017,12,0.049578059071729956
OD23,2017-12-09,9,Winter,Haseena,8,0,0,1,21,707,0.3,149,28.3,No,2017,12,0.21074964639321075
OD24,2018-07-16,16,Monsoon,Alan,17,1,0,4,19,969,0.3,78,28.3,No,2018,7,0.0804953560371517
OD25,2016-09-25,25,Monsoon,Sharon,12,4,0,2,9,1100,0.1,495,28.3,No,2016,9,0.45
OD26,2017-01-16,16,Winter,Krithika,19,4,0,6,5,2022,0.1,202,28.3,No,2017,1,0.09990108803165183
OD27,2017-01-16,16,Winter,Muneer,20,4,0,6,6,541,0.1,43,28.3,No,2017,1,0.07948243992606285
OD28,2016-09-17,17,Monsoon,Jackson,22,1,0,0,1,979,0.2,401,28.2,No,2016,9,0.40960163432073543
OD29,2016-09-17,17,Monsoon,Veronica,8,1,0,1,21,1988,0.2,875,28.2,No,2016,9,0.44014084507042256
OD30,2016-09-17,17,Monsoon,Shah,6,1,0,5,14,989,0.2,69,28.2,No,2016,9,0.06976744186046512
OD31,2016-09-17,17,Monsoon,Ramesh,4,1,0,1,21,1845,0.2,166,28.2,No,2016,9,0.08997289972899729
OD32,2016-09-17,17,Monsoon,Mathew,21,1,0,6,16,1400,0.1,420,28.2,No,2016,9,0.3
OD33,2016-09-17,17,Monsoon,Akash,20,1,0,5,8,2163,0.3,671,28.2,No,2016,9,0.3102172907998151
OD34,2016-09-17,17,Monsoon,Anu,9,1,0,5,14,1689,0.3,338,28.2,No,2016,9,0.20011841326228538
OD35,2018-10-19,19,Post-Monsoon,Anu,21,0,0,1,13,809,0.3,81,26.8,Yes,2018,10,0.10012360939431397
OD36,2017-12-08,8,Winter,Sabeela,19,0,0,2,9,1265,0.2,569,30.1,No,2017,12,0.449802371541502
OD37,2017-12-08,8,Winter,James,16,0,0,1,21,934,0.4,56,30.1,No,2017,12,0.059957173447537475
OD38,2016-12-27,27,Winter,Willams,15,0,0,4,19,1354,0.2,447,28.3,No,2016,12,0.33013293943870015
OD39,2016-12-27,27,Winter,Jonas,1,0,0,4,11,1751,0.2,280,28.3,No,2016,12,0.1599086236436322
OD40,2016-12-27,27,Winter,Sabeela,3,0,0,2,4,2045,0.2,879,28.3,No,2016,12,0.42982885085574574
OD41,2016-12-27,27,Winter,Malik,11,0,0,1,13,660,0.2,92,28.3,No,2016,12,0.1393939393939394
OD42,2018-09-10,10,Monsoon,Arutra,16,0,0,1,21,1868,0.2,616,28.8,No,2018,9,0.3297644539614561
OD43,2017-07-17,17,Monsoon,Sharon,0,4,0,6,6,1017,0.3,346,30.9,No,2017,7,0.34021632251720746
OD44,2018-09-19,19,Monsoon,Mathew,4,3,0,6,6,2311,0.2,1040,26.8,No,2018,9,0.45002163565556036
OD45,2017-03-11,11,Winter,Amrish,8,0,0,0,1,1663,0.2,732,25.5,No,2017,3,0.4401683704149128
OD46,2017-03-11,11,Winter,Vince,9,0,0,2,9,1420,0.2,355,25.5,No,2017,3,0.25
OD47,2015-10-20,20,Post-Monsoon,Suresh,10,0,0,4,19,1415,0.3,509,28.3,No,2015,10,0.3597173144876325
